"Id","TSN","PSN","PET","NPP","RE","CVE","SR"
2461,1219.40734863281,105.451934814453,1003.32244873047,154.314468383789,2369.09,18.54,0
2462,1222.97399902344,105.848220825195,990.8476563,166.682739257812,2481.23,18.88,0
2463,1226.62048339844,106.444396972656,978.259643554688,180.540267944336,2741.85,20.33,0
2464,1229.4189453125,107.400848388672,966.873962402344,193.25227355957,2869.15,23.82,0
2465,1231.23779296875,108.841903686523,956.9326172,203.831329345703,2908.8,29.54,0
2466,1232.33264160156,110.368865966797,946.134521484375,214.701522827148,2908.85,35.67,0
2467,1232.68383789062,111.617752075195,935.685363769531,225.987457275391,2908.85,40.27,0
2468,1234.12219238281,112.449798583984,928.574157714844,234.536895751953,2908.85,43.05,0
2469,1236.69067382812,113.135475158691,924.61572265625,240.406097412109,2908.85,45.63,0
2470,1240.32922363281,113.696182250977,921.314514160156,243.495468139648,2908.85,48.03,0
2471,1244.904297,114.162437438965,919.313842773438,244.923568725586,2908.85,50.11,0
2472,1250.72521972656,114.526466369629,919.370666503906,245.818817138672,2908.85,52.32,0
2473,1256.87133789062,114.729354858398,919.8662109,247.371658325195,2908.85,54.7,0
2474,1262.17358398438,115.007148742676,919.981628417969,251.118759155273,2908.85,57.35,0
2475,1267.9228515625,115.365661621094,918.979858398438,256.653228759766,2908.85,60.36,0
2476,1272.57971191406,115.675506591797,915.89013671875,263.599639892578,2660.17,64.61,0
2477,1275.80200195312,115.890281677246,911.198364257812,272.214721679688,2660.17,69.91,0
2478,1278.23156738281,116.104644775391,905.346862792969,282.504699707031,2660.17,74.97,0
2479,1281.17687988281,116.153228759766,898.287231445312,292.098175048828,2138.03,78.72,0
2480,1341.45568847656,111.107772827148,810.951477050781,323.423034667969,1609.48,64.46,0
2481,1351.81079101562,109.904014587402,788.788696289062,336.040832519531,1269.84,62.69,0
2482,1222.17236328125,80.4595336914062,902.370849609375,48.0714874267578,4331.56,43.79,1
2483,1225.85815429688,82.5270385742188,907.919067382812,51.4292526245117,4538.73,46.51,0
2484,1225.25854492188,84.4883422851562,911.266174316406,53.5818901062012,4724.82,50.03,1
2485,1225.91833496094,85.917121887207,919.466125488281,54.3971176147461,4823.1,52.88,1
2486,1228.08215332031,86.9202041625977,932.520568847656,56.5759010314941,4823.1,54.81,1
2487,1231.01013183594,87.4609756469727,947.953735351562,58.8610687255859,4823.1,56.52,1
2488,1235.16833496094,87.66064453,965.0585938,61.7299537658691,4823.1,57.54,1
2489,1241.08947753906,87.3014678955078,983.701110839844,62.285701751709,5295.04,59.19,1
2490,1246.1162109375,86.6113357543945,999.133728027344,61.5624198913574,6112.26,61.89,1
2491,1249.63598632812,85.9076614379883,1013.13458251953,60.6020011901855,6147.75,64.84,1
2492,1252.26623535156,85.0842666625977,1027.13830566406,59.7083892822266,6147.75,67.62,1
2493,1254.32006835938,84.3499755859375,1039.22644042969,59.0804405212402,6147.75,69.65,1
2494,1256.81677246094,83.7375335693359,1051.12963867188,56.6434707641602,6147.75,71.32,1
2495,1256.24694824219,83.5660781860352,1062.0927734375,51.1053276062012,6147.75,72.21,0
2496,1253.78491210938,83.2414703369141,1075.55737304688,45.2646675109863,6147.75,72.31,1
2497,1249.64025878906,82.5654830932617,1088.976563,39.9023551940918,6147.75,71.49,1
2498,1244.01281738281,81.7280807495117,1100.19519042969,35.2801361083984,6009.8,70.01,1
2499,1237.62878417969,80.9790420532227,1109.39794921875,31.6958789825439,6009.8,68.47,1
2500,1230.64477539062,80.5840225219727,1117.74731445312,28.769702911377,6009.8,66.07,1
2501,1225.14221191406,80.2713470458984,1127.3740234375,25.7834796905518,6009.8,63.65,0
2502,1219.52368164062,80.2265396118164,1131.01550292969,22.4653987884521,5923.2,61.56,0
2503,1213.019531,80.5115737915039,1128.77612304688,18.3433818817139,5923.2,59.86,0
2504,1204.99780273438,81.0014495849609,1118.14038085938,14.8260660171509,5746.71,59.12,0
2505,1196.99682617188,81.5954895019531,1105.46997070312,12.890022277832,5746.71,59.35,0
2506,1188.20288085938,82.4111709594727,1090.26513671875,12.4468593597412,5746.71,59.32,0
2507,1178.20947265625,83.4942016601562,1071.37023925781,11.9059038162231,5746.71,59.2,0
2508,1168.94226074219,84.7146606445312,1051.29235839844,11.5267963409424,5696.67,58.91,0
2509,1160.89001464844,86.0377655029297,1032.77880859375,11.6763248443604,5583.75,58.86,0
2510,1153.75,87.4308319091797,1015.96392822266,13.538405418396,5583.75,58.87,0
2511,1148.1337890625,88.6219177246094,1001.58630371094,16.488561630249,5583.75,58.64,1
2512,1145.17199707031,89.3761596679688,994.280334472656,20.5472316741943,5583.75,58.14,1
2513,1141.55432128906,90.5097122192383,992.486511230469,24.8404731750488,5430.95,56.75,1
2514,1243.98425292969,106.696105957031,972.700317382812,173.618606567383,2532.47,19.13,0
2515,1246.40844726562,107.360786437988,960.609497070312,188.251647949219,2741.39,20.6,0
2516,1247.37170410156,108.632164001465,949.898315429688,201.304992675781,2891.91,25.25,0
2517,1248.22546386719,110.09814453125,939.0878906,213.73405456543,2908.85,31.64,0
2518,1247.38745117188,111.4335938,929.398864746094,224.894515991211,2908.85,36.85,0
2519,1248.13012695312,112.423233032227,922.114929199219,232.718002319336,2908.85,40.59,0
2520,1251.19201660156,113.030609130859,917.194458007812,238.017181396484,2908.85,43.03,0
2521,1254.390625,113.581420898438,913.764526367188,241.202285766602,2908.85,45.53,0
2522,1258.97399902344,114.046051025391,911.59033203125,242.745178222656,2908.85,47.63,0
2523,1265.29724121094,114.428047180176,910.362365722656,244.349624633789,2908.85,49.94,0
2524,1272.49877929688,114.675186157227,909.234680175781,246.462661743164,2908.85,52.16,0
2525,1279.12841796875,114.95728302002,909.647338867188,249.472518920898,2908.85,54.57,0
