"Id","PSCV.1","MPS.1","MPFD.1","PSCV.2","MPS.2","MPFD.2","PD.2","PSCV.3","MPFD.3","PSCV.4","MPS.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","MPS.All","MPFD.All","SR"
800,2024.136287,1241.305436,1.039090336,2394.552318,568.7228707,1.045030927,0.056092119,1219.342433,1.039323154,389.7245269,188.3587881,734.0803958,1.049238528,0.022063289,107.5031646,32.55172559,1.024331756,0.00050586,3019.964448,371.1821677,1.041263813,1
801,3514.696509,1605.372343,1.035946137,1454.007239,395.4452566,1.046263393,0.062415372,1305.884379,1.038335689,382.6784896,183.8263079,703.4637386,1.050012746,0.026888418,150.5736159,41.28511539,1.023487241,0.000583685,5110.491361,397.5987836,1.041214733,1
802,3713.949837,1654.192114,1.035126918,2198.314579,384.2017292,1.044948435,0.064380445,1260.78345,1.037560137,382.103082,181.800608,694.6657263,1.048615204,0.025565399,134.1827228,36.56681649,1.028783408,0.001361931,5535.633898,410.3272774,1.040303203,2
803,2417.688442,1022.754573,1.037773765,3509.997794,594.3377221,1.044122577,0.057395682,1337.72582,1.03796006,467.7577705,186.6783591,873.2025304,1.049074127,0.024222923,353.1383608,66.99215152,1.033014869,0.003132442,3448.327634,437.7989332,1.040583948,2
804,4132.216513,709.5933378,1.03856166,3927.040562,921.8117285,1.042213303,0.046928266,1234.656312,1.039713924,504.0802363,207.2673834,1044.793916,1.047233081,0.016459914,337.1564407,63.48141398,1.032955611,0.00542827,4893.161211,457.8034627,1.040356212,2
805,4136.444776,479.036504,1.039844727,3806.337763,1588.395011,1.038983228,0.035079463,573.8634912,1.040627527,504.401515,339.1058084,1710.454835,1.036492176,0.005233708,311.6952409,57.52843947,1.033357753,0.008307782,5830.296958,454.9264893,1.039752726,1
806,3254.099722,265.5767967,1.039527455,3230.054845,2989.297069,1.037392785,0.022705343,574.7380233,1.040371676,413.4820093,550.2531785,2275.197899,1.026401477,0.002801688,321.3352976,54.20180353,1.033248657,0.009981012,6922.772108,453.5615493,1.039275788,1
807,1555.551871,163.6076923,1.041315694,3839.400575,2135.11725,1.03810181,0.031985933,1864.403349,1.041346546,231.119799,437.2130913,1010.486018,1.026090345,0.002159634,274.1509192,50.75017955,1.033111793,0.012899436,7200.922343,417.2221346,1.04032198,0
808,875.3719397,131.2234984,1.041280226,4167.570111,1672.224776,1.038071176,0.039573836,2912.55409,1.041475696,202.2097587,344.9735671,697.5702176,1.029130774,0.001653774,252.5099851,53.21306902,1.03623934,0.015623299,7065.814867,391.8993119,1.040478885,0
809,915.099225,137.3757043,1.039984919,4045.74397,1546.983157,1.03807796,0.042200418,2700.82493,1.04242668,135.7628654,260.2530059,353.326938,1.030560601,0.001537037,259.5267697,52.08544093,1.03637481,0.013833332,6489.997729,400.6360181,1.04048529,0
810,966.4173861,207.7503388,1.040491285,4163.156739,1236.363003,1.039353825,0.049963428,2711.918397,1.043928579,144.0306354,236.7340942,340.96962,1.02962301,0.001225738,247.3819233,49.63320857,1.035057226,0.013230191,5702.295409,419.0932384,1.041381155,0
