"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSSD.All","SR"
42,240.6500584,73.93093811,177.9148457,1.043584619,0.053746608,299.3559257,25237.8204,75550.91088,1.054479754,0.003583107,124.2249952,60.50849724,1.039907281,0.063699684,172.5048015,350.1591313,1.014675747,0.004777476,142.9258388,38.80800846,55.4666716,1.025353206,0.019906151,11847.45544,0
43,550.3728076,275.3904856,1515.674347,1.044494778,0.061310945,781.7499781,2971.238148,23227.65357,1.043657988,0.025479873,124.2199955,44.22134127,1.032545819,0.092364541,96.4231229,172.8522525,1.036428133,0.007564337,147.8090264,59.56497069,88.04240324,1.04035368,0.033044211,7948.005879,0
44,1012.438469,1153.44818,11677.95309,1.038680717,0.045386024,881.4107965,816.6416431,7197.967611,1.043192477,0.052154116,103.5024169,42.56009689,1.036853703,0.067680914,39.28083369,47.97569848,1.016634476,0.004777476,130.3916018,174.1154866,227.031972,1.077779227,0.00915683,7039.062038,0
45,715.834662,424.7251915,3040.330139,1.040640688,0.089975803,1076.900107,885.9448741,9540.741294,1.046567549,0.058524084,188.9052812,67.62348992,1.041323009,0.107493216,154.4194438,352.6296083,1.021695165,0.003184984,242.9700373,180.431245,438.3938633,1.055473894,0.010749322,4776.458249,0
46,736.9517853,3361.115403,24769.79997,1.04111224,0.022693012,480.7376866,213.5015052,1026.382197,1.047203398,0.077235866,159.5244142,49.10587822,1.037876128,0.077235866,154.6413386,714.2531285,1.034556179,0.001592492,437.0964904,151.1493947,660.6686993,1.051805064,0.017915536,8439.145988,0
47,758.6810578,2417.75957,18343.08388,1.037486405,0.027072365,505.7070187,267.7658602,1354.110749,1.048124409,0.097938263,123.495117,54.32644245,1.038306489,0.110280077,51.37386128,60.44781004,1.03710034,0.001990615,323.5134755,64.98582977,210.2379165,1.039318148,0.032247965,5873.494612,0
48,1094.282904,760.1653531,8318.359503,1.040804767,0.064894053,778.3764525,282.5728536,2199.480554,1.04460103,0.1106782,354.832729,146.4623769,1.047667047,0.13177872,0,0,0,0,51.24592785,16.95638668,8.689457683,1.011962589,0.005573722,4019.380826,0
49,1099.810293,930.9388764,10238.56159,1.038500033,0.060912822,565.7975079,139.0873189,786.9525843,1.044937451,0.139741181,651.685261,138.2755061,1.049285996,0.166415423,74.56714028,171.883642,1.032838626,0.001194369,98.90180462,47.82192532,47.29674715,1.051063994,0.011943691,4167.724477,0
50,693.5062921,436.6694897,3028.330387,1.046098246,0.077633989,1121.685185,843.0420562,9456.277845,1.040471218,0.059718453,150.6990018,58.05719351,1.041072179,0.156064225,197.4148878,641.8358434,1.037491295,0.010351199,371.0332524,167.2047173,620.3851009,1.040156077,0.019906151,4327.523364,0
51,1044.161251,442.7913925,4623.456145,1.042749095,0.096345771,1373.759288,311.6607781,4281.468888,1.038993752,0.117844414,290.4497171,112.6695947,1.048685664,0.156860471,126.9704284,271.3821277,1.035493239,0.009554953,198.1392123,75.00129295,148.6069711,1.034025692,0.011943691,3283.899774,0
52,911.2007033,1957.602555,17837.68825,1.039972117,0.035831072,331.4486244,81.40369803,269.8114373,1.041292406,0.16203607,215.2253884,92.79250455,1.049713715,0.1660173,17.51615516,17.62693936,1.035307782,0.001592492,202.9421627,74.75953327,151.7186136,1.029971877,0.014730552,5480.15725,0
53,836.6136414,636.9782789,5329.047174,1.044323622,0.074050882,1339.31784,363.4264934,4867.43586,1.039923942,0.097938263,146.415784,66.96167104,1.043275377,0.129788105,191.3595755,580.6722085,1.028426647,0.00398123,563.8865475,361.4471376,2038.151786,1.036742499,0.020304274,3718.736589,0
54,815.2063927,732.8107981,5973.920472,1.045121549,0.072060267,645.5993436,223.8087834,1444.908037,1.046841692,0.128593736,350.4666887,100.82185,1.047764211,0.173581638,135.6875496,420.1407106,1.038840508,0.001194369,111.2248718,59.23516555,65.88423698,1.040567678,0.00915683,2732.206018,0
55,570.8259557,139.0735821,793.8681043,1.042397643,0.163628562,928.3839868,1606.208279,14911.78045,1.040335032,0.037821687,213.9212499,113.9376927,1.052450711,0.142528042,0,0,1.042666521,0.000398123,0,0,0,0,0,4972.926,0
