"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
66,190.2415273,63.94074895,121.6418574,1.038907011,0.115450972,756.9393071,6481.585163,49061.66582,1.035397499,0.011068027,323.1909299,108.4607223,1.046405806,0.191782192,61.97443384,72.49428014,1.021059517,0.000572484,47.14045208,30.96383654,14.59649253,1.004812305,0.000381656,2917.394278,9138.122351,1.043217235,0
67,339.3840443,116.3031909,394.7144729,1.0449838,0.109535302,908.956254,4100.988128,37276.18807,1.031296279,0.016029556,269.365478,124.6545602,1.050796873,0.172508559,0,0,0,0,84.85281374,51.60639423,43.78947758,1.030250785,0.000381656,2579.783074,8643.790316,1.04758981,0
68,477.4381596,175.0702436,835.8521491,1.050397765,0.11068027,977.9544759,1322.859129,12936.96006,1.038030944,0.04312714,644.1993277,181.0656249,1.051511131,0.12441989,134.1983889,1034.207248,1.034512623,0.000572484,264.6854155,263.1926106,696.6324548,1.036578376,0.002289937,1450.659107,5160.840115,1.048848223,0
69,472.7592907,223.6678299,1057.410446,1.049249756,0.130908044,1186.526542,1144.104023,13575.0979,1.036732292,0.050569434,635.6684832,138.163874,1.044859242,0.086445108,128.507107,864.7852109,1.051362086,0.00095414,140.1494528,29.10600635,40.79190863,1.02702804,0.009541403,1629.985135,5854.45045,1.044858697,0
70,874.2342396,212.2440114,1855.509819,1.047295591,0.145220148,1413.514535,1489.374676,21052.52753,1.036711345,0.041791343,206.4534899,68.03838838,1.039455496,0.091215809,142.4343958,896.764121,1.047856371,0.000572484,131.006002,47.07510108,61.67120787,1.038399764,0.00782395,2334.669792,8145.416842,1.04301559,0
71,622.955637,166.6272172,1038.013642,1.0470552,0.160295564,1366.640206,1661.368226,22704.92615,1.035697644,0.038547267,225.498096,64.08522854,1.040768635,0.135106261,81.86537751,266.1609476,1.038729464,0.000763312,102.8554442,49.88618109,51.31065315,1.044952997,0.00686981,2616.489176,7659.910482,1.043226096,0
72,435.3306541,148.4223901,646.1281617,1.046325822,0.164112125,1288.362311,1950.131915,25124.76459,1.037116379,0.033394909,190.8830611,58.82666105,1.040736626,0.170218622,61.61647271,149.4507871,1.040884929,0.000763312,104.0122948,30.40085769,31.62062973,1.028416489,0.010495543,2830.923813,7469.761236,1.042497024,0
73,357.5422191,142.2280236,508.5252319,1.048947666,0.147510084,1166.733081,2622.622418,30599.00333,1.038259691,0.027097583,147.4900886,54.07683249,1.04016254,0.129953903,132.0532463,499.1835057,1.023290297,0.001526624,98.05714136,36.53732712,35.8274585,1.033732404,0.009541403,2831.746328,8971.738849,1.043828933,0
74,254.6654188,102.0027075,259.7656223,1.046010662,0.11068027,488.846039,17972.35684,87857.15455,1.036798278,0.004579873,118.5296648,40.28247687,1.031959414,0.066789818,306.4968032,1352.978514,1.035040604,0.004961529,136.9459054,58.08544519,79.54563884,1.039316467,0.026143443,2745.442898,12880.03446,1.040333526,0
75,1244.894565,280.4108188,3490.819043,1.046487864,0.081674406,1060.154279,3132.152224,33205.64583,1.037864066,0.022136054,134.986018,48.99919619,1.035971175,0.073277972,342.7073829,2042.393045,1.025348896,0.005152357,130.8086064,60.20745994,78.75653931,1.039064681,0.018319493,2257.537087,11256.15229,1.0404725,0
76,967.3789172,833.7710599,8065.725452,1.039781554,0.058584212,986.7972789,973.9722452,9611.131613,1.046223755,0.047516185,132.7394532,47.58900205,1.036931746,0.092169949,51.9025775,62.49844711,1.031399045,0.001144968,141.4012691,73.48750539,103.9122652,1.043227628,0.004770701,1295.190393,6343.18853,1.040027823,0
77,922.4734545,1977.761302,18244.32301,1.04193987,0.036638986,685.7625792,388.0866797,2661.353224,1.048382846,0.05972918,159.0684445,45.1353003,1.036454957,0.084918483,64.2989038,84.06194266,1.03053032,0.000572484,146.9637921,60.33978403,88.67763472,1.037208807,0.007442294,1548.486219,8180.002857,1.041291811,0
78,950.8035129,3293.317341,31312.97696,1.049578302,0.021372742,1257.013926,359.9936955,4525.170887,1.047864176,0.069270583,180.3357424,44.07818873,1.035387558,0.090261669,78.72367968,132.7130781,1.0445493,0.000572484,122.2991587,53.35576353,65.25364989,1.038579396,0.011258855,2077.596443,10779.47481,1.041659023,0
79,669.5541872,2254.690633,15096.37554,1.044986195,0.027097583,1011.912454,676.2363256,6842.919598,1.040135114,0.051141918,138.1739909,45.12734328,1.035376911,0.078430329,113.5417303,513.2903864,1.042340222,0.00095414,117.3751921,42.48526409,49.86716033,1.03542147,0.008205606,1196.257943,7213.779125,1.03845683,0
80,1096.077181,1601.214867,17550.55078,1.041542501,0.038928923,879.3548867,304.0857787,2673.993155,1.042851564,0.090452497,942.3909778,101.1317159,1.038069055,0.093696574,48.89468341,82.7635285,1.033687173,0.00095414,106.6355918,44.2816157,47.21996294,1.041700141,0.011831339,1733.439571,7349.334568,1.040640827,0
81,969.6530214,773.8974274,7504.119787,1.044298802,0.069461411,846.6230815,336.205714,2846.395176,1.045038228,0.09407823,880.1097772,105.1682444,1.042189731,0.133961293,89.95865511,246.0494165,1.038413653,0.001144968,93.1543007,32.78523869,30.54085983,1.033612434,0.006488154,1210.241275,3966.260907,1.043351536,0
82,931.4050753,687.478655,6403.211084,1.047389033,0.07251466,902.3957629,362.2789153,3269.189581,1.043104505,0.097131479,315.8121782,78.75786651,1.043048185,0.148273396,160.3706468,453.8089368,1.035585294,0.004579873,339.6733717,152.9977805,519.6927199,1.050742673,0.012976308,1163.61175,3468.54242,1.044198529,0
