"Id","MPS.1","MPFD.1","LPI.1","PSCV.2","MPS.2","MPFD.2","PSCV.3","MPFD.3","MPS.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","SR"
38,175.6814,1.0447,1.4042,6704.536,2252.3999,1.0398,736.7964,1.048,267.0495,1.0195,0.0017,473.2162,57.4425,1.034,0.0069,13130.0068,0
39,201.4559747,1.045211644,1.945449913,6764.400063,2213.222895,1.039592949,774.9157878,1.046437605,278.2616777,1.027384048,0.002564931,601.8949696,73.73919005,1.037195653,0.009028557,12898.15485,0
40,256.9897778,1.045315159,6.96766574,6906.980907,1986.367356,1.039917117,768.0014217,1.044429729,263.1103693,1.026953094,0.003029636,985.7811802,96.92868241,1.03849703,0.010229548,12112.99427,0
41,303.8383452,1.04543301,10.28418693,6866.16579,1792.66306,1.040721835,794.9047613,1.043328164,261.2961212,1.027608815,0.003415885,1295.120136,102.1994869,1.038488939,0.011249485,11310.39276,0
42,395.5531874,1.045470936,13.19127413,6968.708436,1510.66956,1.041468253,724.067251,1.041942712,272.246364,1.02790142,0.003440025,1196.058401,106.0198548,1.039376851,0.010851167,10322.2561,0
43,492.6264326,1.044876533,18.24986748,6986.294382,1181.460994,1.042608891,710.9950161,1.041956988,284.8672962,1.02805795,0.003258971,508.4016036,95.88233474,1.039365872,0.010621832,9317.307399,0
44,603.4751937,1.044431263,20.50222158,6649.912142,969.9658804,1.043035977,685.5326052,1.042156341,295.714376,1.028803459,0.00319862,485.1754309,91.40421975,1.038855822,0.009716562,8205.135486,0
45,717.5595572,1.044105995,24.6776011,5874.831561,780.9288853,1.043166231,715.2604562,1.042313814,287.4295436,1.02934244,0.003102058,496.9062016,92.57084853,1.039337318,0.009324278,7388.689771,0
46,755.9223386,1.043675997,19.6654763,5126.888366,689.8028652,1.043178023,678.8399345,1.042738461,330.5042583,1.032093338,0.00390473,709.7857925,115.4903881,1.039542429,0.010157127,6154.846764,0
47,783.8435479,1.043353415,19.63825545,4363.517202,593.5504761,1.042996289,708.8234635,1.043431995,391.4146516,1.034955984,0.004628946,1726.853306,203.2368419,1.040845782,0.010724429,5534.791473,0
48,847.0586437,1.042692002,21.76117036,3850.667338,500.4259046,1.043413713,718.9885425,1.043798276,480.5697258,1.038394964,0.004991054,3385.924894,424.1892235,1.03978602,0.010965834,5483.530414,0
49,865.9221316,1.042447403,21.79244008,3714.243391,466.2354632,1.04338442,573.3896798,1.044145161,622.4903158,1.040018422,0.004942773,3588.548088,659.953434,1.038122506,0.01146675,5392.645945,0
50,931.1915266,1.042001938,12.99150921,2958.350555,423.2300119,1.043528841,585.4784635,1.044447085,629.7138345,1.041064285,0.004840176,3857.653844,967.2910822,1.038454119,0.011177064,4513.040634,0
51,900.4368292,1.042128337,22.30552509,2868.23962,424.1818794,1.043448833,583.9573876,1.044152787,632.8873507,1.041154763,0.00481,3950.100712,1302.634698,1.038458234,0.01102015,5634.988507,0
52,843.4571548,1.042301093,18.12254615,2762.764124,463.3163509,1.043379664,593.8317187,1.043705242,623.4179065,1.041431472,0.004918632,3992.131451,1656.216991,1.038199842,0.010820991,5344.358793,0
53,979.9717,1.0421,28.1289,2266.4098,472.8341,1.0454,460.977,1.0442,616.0349,1.0354,0.0052,3908.2459,2085.6651,1.0398,0.0102,6597.0091,0
54,1060.2876,1.0414,27.3894,2248.1453,458.5327,1.0456,336.371,1.0438,632.4342,1.0361,0.0051,3897.5347,2614.077,1.0394,0.01,6781.5,0
55,280.9151884,1.048318431,5.153835181,7919.714167,540.4474662,1.043950534,2355.699927,1.052565448,220.631208,1.024219357,0.000561267,1037.14224,132.1294292,1.032533311,0.002190753,7045.456699,0
56,266.2594038,1.048298233,4.82232633,8601.307628,608.8164925,1.044167418,1873.210203,1.052261667,229.1504979,1.023176007,0.000688005,971.3148366,137.7585598,1.030890308,0.002347666,8315.587905,0
57,255.5746818,1.048150269,3.716673923,8748.044034,734.1997901,1.043429254,2162.279262,1.05198725,324.1373047,1.023754382,0.001013902,853.5579353,254.8907124,1.030898362,0.002776161,9450.973918,0
58,256.0223592,1.047329368,4.827807874,8657.738235,829.5814928,1.043698571,2639.361611,1.051330461,304.9185846,1.022984196,0.001200991,831.482321,241.8421322,1.031325466,0.003035671,10046.26753,0
59,247.3576398,1.046774591,5.158756113,8232.37736,942.3534034,1.043982237,2850.396311,1.05041402,277.4288573,1.021842049,0.001400151,911.230944,171.6767157,1.031332187,0.003735746,10304.88785,0
60,236.743171,1.046373196,5.101885091,8018.276846,1083.636037,1.044532228,2723.661876,1.049669649,266.6330369,1.021787168,0.001484642,959.1148313,153.216591,1.030961804,0.004236662,10894.22039,0
61,218.2812855,1.046215548,2.960096226,7796.089608,1356.556065,1.043431668,2288.142586,1.048598146,266.1803492,1.021805452,0.001490678,970.9704344,150.950528,1.031678656,0.004266838,12006.63664,0
62,190.0645,1.0457,1.6362,7185.8373,1794.5877,1.0427,1123.382,1.0478,250.6112,1.0222,0.0017,897.7841,164.6026,1.0303,0.0043,12868.2736,0
63,172.8612,1.0449,2.5173,6579.1127,2303.3259,1.0411,573.5337,1.0479,244.3812,1.0214,0.0017,902.387,164.8018,1.0301,0.0042,13428.391,0
64,157.5744,1.0445,2.7327,6185.344,2765.8856,1.0387,558.9485,1.0477,249.1742,1.0221,0.0016,874.5958,175.4774,1.0312,0.004,13862.8199,0
65,148.1251,1.044,2.7213,6061.2617,2911.9112,1.0385,629.1766,1.0481,187.6277,1.0214,0.0014,742.094,130.4684,1.0314,0.004,13906.2624,0
66,147.9606,1.0443,2.4096,6224.7248,2705.5161,1.039,658.9653,1.0482,179.9343,1.0212,0.0011,411.7232,75.5074,1.0331,0.0038,13710.1861,0
67,145.1725,1.0441,1.8509,6465.8866,2439.0478,1.0388,675.2874,1.0482,172.641,1.0209,0.001,444.6317,68.7908,1.0342,0.0035,13633.4615,0
68,139.3811,1.0441,0.6151,6538.0205,2401.7261,1.0387,669.6615,1.0488,181.675,1.0212,0.0012,480.6709,55.1981,1.0331,0.0047,13683.3908,0
69,150.2417,1.0443,0.551,6490.9348,2454.7764,1.0387,663.5831,1.0482,259.6166,1.0202,0.0015,436.2766,53.2927,1.033,0.0055,13545.8421,0
70,171.760856,1.04440911,2.903910397,6557.837686,2389.991583,1.038741252,695.9592691,1.04731078,308.7276643,1.024469734,0.001641556,239.6624051,49.30881879,1.034786213,0.006994718,13282.39227,0
71,208.5589736,1.044814726,4.99798491,6486.090283,2338.527899,1.039260303,698.7802397,1.045871185,289.4063131,1.026495969,0.002124366,427.0723064,61.22200553,1.036751462,0.008738871,12641.56398,0
72,275.8902103,1.044915572,10.3458543,6573.783389,2062.023003,1.040150465,754.4538158,1.04367395,263.8268097,1.025633384,0.00250458,386.2710658,67.70486414,1.038864875,0.009143224,11714.91081,0
73,353.7871534,1.045089348,14.9178983,6789.833888,1624.281999,1.041775745,810.9492353,1.042818762,290.6337498,1.025787893,0.002776161,380.187101,69.51448324,1.039247509,0.009294103,10636.65735,0
74,449.9211953,1.045285781,20.68759745,6820.625359,1349.372986,1.042239401,739.4730324,1.041615297,274.8099404,1.026412445,0.002643388,408.7242111,73.36423078,1.040159757,0.009438946,9873.937461,0
75,535.8582585,1.044668409,24.34316461,6535.436429,1113.404136,1.042944964,701.015051,1.041719554,294.4956441,1.026390935,0.002570966,455.204088,74.75087796,1.038681086,0.009336349,9015.475798,0
76,628.5271111,1.044180502,14.35504336,6175.770422,939.5964475,1.043108873,684.4999941,1.042294444,297.7330054,1.02789732,0.00251665,448.8809845,81.23613914,1.039911752,0.008684554,7287.612814,0
77,746.0370175,1.043920436,15.1677446,5684.83283,782.782181,1.043281082,713.0754096,1.042470896,285.9659335,1.028223393,0.00252872,501.8938448,86.62090026,1.039825275,0.008642308,6593.687739,0
78,804.84938,1.043003698,27.50321262,5157.88947,679.8766185,1.043287378,738.5859275,1.042921013,282.8290059,1.029903449,0.002878758,485.4908719,93.72874102,1.040343015,0.009076838,7056.647227,0
79,811.3647808,1.042784864,15.3394166,4703.486271,605.0736717,1.043197908,770.1023551,1.04347779,419.667754,1.035294522,0.003554693,564.8522837,103.6760064,1.040772324,0.009547578,5421.249259,0
80,866.2215966,1.042186703,22.73520341,4485.295667,526.5302779,1.043369325,765.1157258,1.044029243,495.2403096,1.038324477,0.003784028,913.429655,129.6266413,1.03973502,0.010404567,5914.078568,0
81,933.4003218,1.042116133,11.88747635,4203.926916,504.5607555,1.043090261,652.2798339,1.043903192,623.4565469,1.040345642,0.00412803,1828.256097,222.4659331,1.038363326,0.011098607,4801.619762,0
