"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","LPI.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
53,1825.628907,1066.586679,19471.91473,1.039834648,0.053142594,1581.733445,242.5536193,3836.55172,1.043055457,0.110803074,273.2138016,84.72627868,1.046662535,190.0859612,611.7952372,1.04242236,0.004594461,413.6676541,161.8588242,1.042763419,0.565887123,0.014931997,2689.148228,8110.424159,1.044128417,0
54,1480.931481,798.4517589,11824.52346,1.041886136,0.066619678,1104.150917,288.0855491,3180.899233,1.042785252,0.105059998,266.5455413,84.46374216,1.046294954,199.6216779,626.6900964,1.038136981,0.002756676,812.9636584,246.8131898,1.040135706,2.068333241,0.014089679,1865.885097,5604.18009,1.043977113,0
55,768.1911123,195.6824475,1503.21517,1.047878519,0.140513919,2317.87564,818.0638162,18961.70191,1.042303489,0.063633279,357.3400311,141.1145114,1.054323693,55.2086581,126.3109767,1.03578079,0.000459446,202.3670803,88.76299808,1.030561047,0.060856576,0.001531487,2848.845267,8155.119002,1.049413085,0
56,1790.467898,370.1530962,6627.472363,1.045515499,0.104600552,2184.205403,473.1686713,10334.97568,1.044842618,0.087371325,357.9449032,124.6037017,1.054880912,86.2800523,266.042993,1.033664359,0.000612595,212.5935819,98.86698685,1.03376168,0.070340718,0.001454913,2214.649214,6302.365866,1.049472796,0
57,1283.254745,666.931428,8558.429195,1.045835376,0.074200538,1112.215299,277.6382279,3087.934848,1.047801012,0.113636325,239.9913047,106.7858828,1.055317642,49.7962522,182.4561566,1.042230432,0.000153149,124.8346013,64.87660989,1.034120591,0.018177938,0.00053602,1545.759256,4231.946793,1.051016269,0
58,1037.713512,464.0084213,4815.078085,1.046432705,0.09150634,1413.75118,408.2162849,5771.162543,1.047048132,0.097708861,210.1041434,109.4843818,1.053888835,72.34071514,79.14476145,1.019558508,0.000382872,63.38986242,29.9808576,1.024023579,0.005532416,0.001608061,1376.782429,3915.436254,1.04987367,0
59,1068.883373,335.9240456,3590.636269,1.047260104,0.102379896,2032.517143,674.5931772,13711.22197,1.044977793,0.073281646,210.7981545,106.1374167,1.052476469,184.1539271,492.8254025,1.019324421,0.001072041,150.4919545,36.12447596,1.023687779,0.022920009,0.003062974,2227.58388,6782.577149,1.04880051,0
60,707.1662136,235.9733844,1668.724047,1.046387347,0.100465538,2174.102578,1133.979461,24653.8767,1.042875032,0.052836296,235.67174,100.2114774,1.049518987,94.00018827,173.3598061,1.024640653,0.002909825,470.7201842,594.3842348,1.030657583,1.694499988,0.005207055,3060.082373,10602.87648,1.046621403,0
61,723.1119489,150.5489049,1088.63712,1.045020436,0.091429765,1848.995872,2614.903065,48349.44973,1.041661499,0.027949635,349.7875483,93.04823186,1.047104792,173.7922519,329.1337891,1.019799597,0.003292697,558.8027132,471.5708619,1.031684335,1.696871024,0.005666501,3916.712055,16720.87076,1.044884864,0
62,273.4342188,83.66568989,228.7706256,1.043996859,0.092348657,1038.136071,9985.316486,103661.1722,1.033351346,0.008346603,284.9927867,70.41526826,1.042214973,92.80661253,133.1766263,1.016892407,0.002373805,577.7280333,428.1266466,1.030533594,1.626530306,0.005743076,4192.338898,21402.89716,1.042027998,0
63,258.5126043,80.32514191,207.6506163,1.043533214,0.10314564,940.3341241,12350.16394,116132.8059,1.033707143,0.006815117,333.9986299,73.38814702,1.042202854,67.15920733,82.38045844,1.013188903,0.001990933,176.9268751,70.05958975,1.031086599,0.067969682,0.00758086,4412.340058,20832.12259,1.04190676,0
