"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","SR"
41,737.8282315,262.613612,1937.637369,1.044484219,0.088883379,748.966621,1939.550435,14526.58536,1.040228772,0.036854084,118.9755826,44.13090009,1.036711737,0.105359322,35.86956522,37.8446891,1.012921451,0.003902197,65.86362996,15.78548529,10.39689362,1.008224931,0.007370817,1404.268767,5793.909862,0
42,181.6245627,86.79531568,157.6416125,1.040343841,0.074141745,223.5357955,40630.74631,90824.26198,1.055081253,0.002167887,133.6434722,50.41277695,1.032094414,0.063735886,94.10034098,196.1896435,1.026433577,0.006503662,123.4879566,39.7271865,49.05829083,1.024478477,0.022979605,1740.805482,10268.49495,0
43,868.1080295,470.3760437,4083.372204,1.043890639,0.062001576,786.5909282,1634.936957,12860.26579,1.034999659,0.038588394,156.7988527,61.47454376,1.038069582,0.088883379,51.67562646,68.57467075,1.022365674,0.003035042,242.8550166,92.23270459,223.9917501,1.034925522,0.02037814,1257.190989,5905.451041,0
44,629.1951726,738.4137781,4646.063845,1.04149535,0.060700844,660.409347,1023.557537,6759.669647,1.04312225,0.048560675,165.9704062,44.0333849,1.033492649,0.07327459,155.8268203,498.5829398,1.030695802,0.003902197,198.042229,82.20161367,162.793908,1.046157255,0.012140169,838.8507271,4224.278211,0
45,691.7465147,858.3286321,5937.458398,1.045277914,0.064603041,578.8201475,650.2405673,3763.723411,1.057011689,0.058966534,191.1583354,58.31230987,1.038997259,0.07674321,44.44074749,38.98825449,1.020282153,0.006070084,156.9004541,230.5085609,361.6689787,1.067075836,0.005202929,813.1690756,3843.211968,0
46,993.8324442,893.7561592,8882.438682,1.042695314,0.067204506,791.7797819,342.6366848,2712.927995,1.048286619,0.090184111,173.4049365,57.99390265,1.036769626,0.114898026,56.48066428,95.60424041,1.047817606,0.002167887,278.2768355,118.5623826,329.9316466,1.039412519,0.016909521,1319.003726,4526.995419,0
47,541.9406062,980.0180134,5311.115562,1.046067616,0.053330027,658.5328448,419.2766559,2761.07449,1.040488723,0.088449801,168.5302305,73.86797606,1.040544873,0.110562252,149.2615882,525.9947759,1.045129376,0.003035042,304.5708788,72.47831368,220.7478369,1.03036496,0.019510986,777.9059572,2829.900365,0
48,477.235918,537.1457034,2563.452228,1.043822874,0.081512562,616.1465274,327.0707616,2015.235139,1.044025461,0.110128674,438.7199204,154.8921246,1.045973423,0.12270242,124.5898122,211.2593031,1.042881634,0.003035042,81.79299026,31.17026212,25.49508946,1.037824252,0.021678873,595.2635963,1755.641655,0
49,690.3528411,623.054106,4301.271723,1.045662999,0.084114027,638.3387063,203.8540638,1301.279393,1.046870236,0.127038195,479.4459996,124.7267998,1.045513471,0.164325856,149.3179761,400.6996417,1.0421799,0.002601465,192.9652221,82.57023077,159.3318292,1.043774304,0.006070084,840.3716067,2187.615312,0
50,701.3703566,342.2412033,2400.378348,1.043431429,0.101023548,710.751302,587.924459,4178.680747,1.047149023,0.080645407,214.1064625,80.61320907,1.04225055,0.166927321,105.6542659,275.9406588,1.042189452,0.009972282,278.3631906,128.5736451,357.9017006,1.038317233,0.015175211,865.6661726,2316.202292,0
51,535.7461989,648.1392291,3472.381284,1.048686684,0.072407435,879.694164,272.8597239,2400.331067,1.043177029,0.123135998,179.1176738,80.505975,1.047387923,0.169095208,194.1374269,659.6333537,1.03723835,0.010839436,259.3483502,78.37721124,203.2700043,1.031549496,0.027748957,803.9659063,1993.829371,0
